"age","party_reg_state","party_primary_state","sex","combined_ethnicity_4way","children_3plus","homeowner","renter","education","hasreligion","catholic","christian","bible_reader","interest_in_religion","donrever_1","liberal_donor","conservative_donor","contbrel_1","contbpol_1","contbhlt_1","blue_collar","farmer","professional_technical","retired","apparel_1","bookmusc_1","electrnc_1","boatownr_1","cat_1","environm_1","outdgrdn_1","outdoor_1","guns_1","golf_1","investor_1","veteran_1","expensive_items_1","cnty_pct_religious","cnty_pct_evangelical","density_clean","marital_status_clean","log_ppi","log_income","log_nchildren","log_pct_evangelical","age.na","support_dem"
58,1,1,"F","H",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0.48772,0.07498888889,"urban","single",3.55534806148941,9.26719318356897,-4.60517018598809,-2.59041532455418,0,1
23,1,0,"F","W",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.5559088889,0.3081888889,"suburban","married",4.54329478227,10.5144209202785,-4.60517018598809,-1.17704240833587,0,1
39,0,0,"F","W",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5084388889,0.09051888889,"rural","married",4.99721227376411,11.4185378594633,0.00995033085316809,-2.40219673303805,0,0
43,1,0,"F","H",0,1,0,"some college",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.35761,0.07723888889,"urban","married",4.20469261939097,11.0284820824784,-4.60517018598809,-2.56085220668842,0,0
71,1,1,"F","W",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0.49812,0.08118,"suburban","married",2.99573227355399,10.7960591977897,-4.60517018598809,-2.51108636757139,0,1
44,0,1,"M","H",0,1,0,"no hs degree",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.5882588889,0.05118888889,"rural","married",3.85014760171006,9.86583760508422,0.698134722070984,-2.97223278435478,0,1
82,0,1,"M","W",0,1,0,"high school",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0.24396,0.15636,"rural","married",4.24849524204936,10.6478030196705,0.00995033085316809,-1.85559423805738,0,0
58,0,0,"M","A",0,1,0,"bach degree",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0.5037688889,0.08284,"suburban","married",4.45434729625351,11.1517977650686,0.698134722070984,-2.49084424245475,0,1
43,1,0,"M","W",0,1,0,"some college",1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0.31205,0.10054,"suburban","married",3.36729582998647,10.4826258164842,-4.60517018598809,-2.29719962071771,0,0
82,0,1,"M","B",0,1,0,"high school",1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.57286,0.1154,"suburban","married",2.89037175789616,10.3926502196659,-4.60517018598809,-2.15935092490814,0,1
72,1,0,"F","W",0,1,0,"post graduate",1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0.4708,0.03992,"suburban","married",4.86753445045558,11.7175139304847,-4.60517018598809,-3.22087782753887,0,0
62,1,1,"M","H",0,0,1,"unknown",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43917,0.09767,"urban","married",4.55387689160054,10.402048268882,0.00995033085316809,-2.32616082952275,0,0
27,1,1,"F","W",0,1,0,"some college",0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0.41343,0.07746888889,"urban","single",3.93182563272433,10.6497014540328,-4.60517018598809,-2.55787885689632,0,0
59,0,1,"F","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.63723,0.56697,"rural","single",4.02535169073515,10.8389925033341,-4.60517018598809,-0.567448886707081,0,0
54,1,0,"M","W",0,1,0,"unknown",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0.2818988889,0.04643888889,"rural","married",4.17438726989564,10.7487118359764,0.00995033085316809,-3.06961804814926,0,0
54,1,1,"M","W",0,0,1,"no hs degree",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0.41343,0.07746888889,"suburban","single",4.4188406077966,10.9135236040958,-4.60517018598809,-2.55787885689632,0,0
55,0,0,"F","W",0,1,0,"bach degree",1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0.3825088889,0.14781,"rural","married",5.01063529409626,11.3513825296234,-4.60517018598809,-1.91182761375816,0,1
54,1,1,"F","W",0,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0.62359,0.05152,"suburban","married",4.39444915467244,10.4481347247776,-4.60517018598809,-2.96578519718604,0,1
94,1,1,"F","W",0,0,1,"unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.31437,0.15002,"suburban","married",3.13549421592915,11.0219024685004,-4.60517018598809,-1.89698666044065,0,0
21,1,0,"F","W",0,1,0,"high school",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9095,0.00492,"suburban","single",4.14313472639153,10.7800390368413,0.00995033085316809,-5.31444674847792,0,0
52,1,1,"F","W",0,0,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3608888889,0.12339,"rural","married",4.64439089914137,10.9059559806513,-4.60517018598809,-2.09240520807169,0,0
72,0,1,"F","W",0,1,0,"bach degree",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0.4495888889,0.2218488889,"rural","married",4.15888308335967,10.7378738447888,-4.60517018598809,-1.50575880950873,0,1
85,1,0,"M","H",0,1,0,"no hs degree",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.3975788889,0.1088788889,"suburban","married",3.36729582998647,10.73048794893,-4.60517018598809,-2.21751912550363,0,0
59,1,1,"M","W",0,1,0,"bach degree",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0.4258188889,0.02658888889,"suburban","married",3.63758615972639,11.1866272965474,-4.60517018598809,-3.62726186136224,0,0
73,1,0,"F","W",0,1,0,"high school",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0.49924,0.28916,"rural","married",4.33073334028633,10.3707373935852,-4.60517018598809,-1.24077511085004,0,0
19,1,0,"M","W",1,1,0,"some college",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0.35761,0.07723888889,"suburban","married",5.7037824746562,10.883710371704,1.10194007876078,-2.56085220668842,0,1
34,0,1,"F","W",0,1,0,"some college",1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0.65532,0.1032688889,"rural","married",4.14313472639153,11.0377726011418,0.00995033085316809,-2.27041912053168,0,0
71,1,0,"F","W",0,1,0,"some college",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0.4401988889,0.04175,"suburban","married",4.30406509320417,11.4357311966388,-4.60517018598809,-3.17605582768527,0,1
40,1,1,"M","W",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5310388889,0.08296888889,"urban","married",3.52636052461616,11.3680268524649,-4.60517018598809,-2.48928957410346,0,0
50,0,1,"F","W",0,1,0,"bach degree",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0.5673888889,0.1470688889,"rural","married",4.75359019110636,11.486858658608,-4.60517018598809,-1.91685417000428,0,0
53,0,1,"F","W",0,1,0,"bach degree",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0.58395,0.26324,"suburban","married",4.82028156560504,10.9911737010707,0.00995033085316809,-1.33468911539422,0,0
51,0,1,"F","H",0,0,0,"some college",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58395,0.26324,"urban","married",2.56494935746154,10.6913083466988,-4.60517018598809,-1.33468911539422,0,1
60,1,1,"M","W",0,1,0,"high school",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0.5894188889,0.03896,"suburban","married",4.81218435537242,10.953941977091,0.00995033085316809,-3.2452198002078,0,0
38,0,1,"F","H",1,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.4238988889,0.2276888889,"suburban","married",4.69134788222914,10.2834980911718,1.61143591509677,-1.47977510420451,0,0
29,0,1,"M","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.45536,0.2425688889,"suburban","married",4.48863636973214,11.1930920325014,-4.60517018598809,-1.41646953100895,0,0
27,1,1,"M","H",0,0,1,"high school",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5170388889,0.1354188889,"suburban","single",4.21950770517611,11.0426337942445,-4.60517018598809,-1.99938242380249,0,0
72,1,0,"M","H",1,1,0,"no hs degree",1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0.36641,0.1088788889,"urban","married",2.89037175789616,10.7205323697523,1.10194007876078,-2.21751912550363,0,0
45,1,1,"M","W",0,1,0,"some college",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0.3337788889,0.15312,"suburban","married",4.17438726989564,11.111387635,0.00995033085316809,-1.87653335127749,0,0
22,0,0,"M","B",0,1,0,"some college",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.4599388889,0.1548188889,"suburban","married",4.02535169073515,10.1785781844731,-4.60517018598809,-1.86549930395268,0,1
54,1,0,"F","W",0,1,0,"no hs degree",1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0.5987988889,0.4421388889,"suburban","married",3.97029191355212,11.0589841434049,-4.60517018598809,-0.816131217983262,0,1
81,0,1,"M","W",0,1,0,"high school",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0.3143788889,0.13361,"suburban","married",4.07753744390572,10.6383283476452,-4.60517018598809,-2.01283017038133,0,1
23,1,0,"F","H",0,0,1,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.49424,0.03796,"urban","single",4.24849524204936,10.9572245040899,-4.60517018598809,-3.27122230524041,0,1
84,0,1,"M","W",0,1,0,"some college",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0.43322,0.24249,"rural","married",4.06044301054642,10.5721114811634,-4.60517018598809,-1.41679480656827,0,0
51,1,0,"F","W",0,1,0,"some college",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0.4064488889,0.2465088889,"rural","married",4.60517018598809,11.022490530852,-4.60517018598809,-1.40035722570331,0,0
23,1,0,"M","W",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5559088889,0.3081888889,"suburban","married",4.18965474202643,11.3661640835748,-4.60517018598809,-1.17704240833587,0,0
33,0,1,"M","H",0,1,0,"unknown",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0.59621,0.08334888889,"urban","married",3.61091791264422,10.4179565312169,-4.60517018598809,-2.48472000052806,0,0
54,1,0,"F","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0.3983988889,0.02148,"rural","married",4.75359019110636,11.4805055737141,0.698134722070984,-3.84063300934147,0,0
60,1,1,"M","W",0,1,0,"post graduate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0.5310388889,0.08296888889,"suburban","married",4.75359019110636,11.8530410565062,0.00995033085316809,-2.48928957410346,0,0
23,1,1,"F","W",0,1,0,"some college",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.61469,0.02746,"suburban","married",4.80402104473326,11.6144526427676,-4.60517018598809,-3.59502487864231,0,1
64,1,1,"M","W",0,0,1,"some college",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0.6057,0.06384,"suburban","married",4.14313472639153,10.4520712819047,0.00995033085316809,-2.75137532584058,0,0
59,0,1,"F","W",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0.6392588889,0.22168,"rural","married",4.43081679884331,11.3765213786809,0.00995033085316809,-1.50652037842741,0,0
46,1,1,"M","W",0,1,0,"some college",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0.5088888889,0.2810088889,"suburban","married",3.04452243772342,10.7526337037809,0.00995033085316809,-1.26936897705262,0,0
43,1,0,"M","W",1,1,0,"some college",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0.4635,0.08112888889,"suburban","married",4.44265125649032,11.246809170433,1.61143591509677,-2.51171616809604,0,0
51,1,0,"F","W",0,0,1,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57969,0.43775,"rural","married",4.20469261939097,10.2006247837587,-4.60517018598809,-0.826107307816176,0,1
47,1,0,"M","W",0,0,0,"high school",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54757,0.24308,"rural","single",2.94443897916644,11.1496142639928,-4.60517018598809,-1.41436467171498,0,0
71,0,0,"M","W",0,0,0,"post graduate",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.7810188889,0.6698888889,"rural","married",4.44265125649032,10.80084008339,-4.60517018598809,-0.400643417812364,0,0
19,1,0,"F","H",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.3975788889,0.1088788889,"urban","single",3.98898404656427,10.683821094775,-4.60517018598809,-2.21751912550363,0,0
21,0,1,"U","W",0,0,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46966,0.1623,"suburban","single",3.85014760171006,10.4144831618538,0.00995033085316809,-1.81830880446159,0,1
58,1,1,"M","B",0,0,1,"unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27312,0.03364,"urban","single",4.34380542185368,11.0699765344404,-4.60517018598809,-3.39203944387739,0,1
79,0,0,"F","W",0,1,0,"no hs degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5216388889,0.3507588889,"suburban","married",3.91202300542815,10.0837236028391,-4.60517018598809,-1.04765621776901,0,1
74,1,1,"M","W",0,1,0,"high school",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.60736,0.03421888889,"suburban","married",4.71849887129509,11.0641822235008,0.00995033085316809,-3.37497748065365,0,1
40,1,0,"M","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0.5452,0.18321,"suburban","married",4.88280192258637,11.2197617289492,0.00995033085316809,-1.69712224307898,0,0
66,1,0,"F","W",0,1,0,"post graduate",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0.53873,0.36735,"rural","married",4.46590811865458,10.8450170892739,-4.60517018598809,-1.00144020691585,0,0
75,0,1,"M","W",0,1,0,"bach degree",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0.40767,0.2173788889,"suburban","married",3.43398720448515,11.0790454501225,-4.60517018598809,-1.52611341618595,0,0
55,0,1,"F","H",0,1,0,"some college",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.59621,0.08334888889,"urban","married",4.02535169073515,10.3337753460756,-4.60517018598809,-2.48472000052806,0,1
46,0,1,"F","B",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0.44961,0.0957,"urban","single",4.17438726989564,10.9036781590265,-4.60517018598809,-2.34653698052323,0,1
64,0,0,"F","W",0,1,0,"high school",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0.4162088889,0.2404688889,"rural","married",2.56494935746154,10.751178192918,-4.60517018598809,-1.42516455788722,0,0
82,0,1,"F","W",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.33347,0.07023,"suburban","single",2.99573227355399,11.0679500017666,-4.60517018598809,-2.65597970881121,0,1
25,1,1,"M","H",0,1,0,"no hs degree",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39986,0.1196588889,"suburban","married",3.80666248977032,10.4695681130117,0.00995033085316809,-2.12311017653888,0,0
45,1,0,"F","H",0,0,1,"high school",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5559088889,0.3081888889,"suburban","married",3.40119738166216,9.6619254156979,0.00995033085316809,-1.17704240833587,0,0
60,0,0,"F","W",0,1,0,"bach degree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0.4480688889,0.10287,"rural","married",3.58351893845611,11.2604818279445,0.00995033085316809,-2.2742892238392,0,0
56,0,1,"M","W",0,1,0,"bach degree",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.4975288889,0.2170088889,"rural","married",4.89034912822175,11.471863858412,-4.60517018598809,-1.52781696360781,0,0
85,0,1,"F","W",0,1,0,"high school",1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0.59969,0.41311,"suburban","married",3.13549421592915,11.1058891231206,-4.60517018598809,-0.884041377658658,0,0
27,0,1,"F","W",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.4621488889,0.1638188889,"suburban","married",4.24849524204936,10.7626151646769,-4.60517018598809,-1.80899379736183,0,1
65,1,1,"F","W",0,1,0,"post graduate",1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0.6057,0.06384,"suburban","married",4.88280192258637,11.6367259151742,0.00995033085316809,-2.75137532584058,0,1
81,1,1,"F","W",0,1,0,"post graduate",1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0.37735,0.1488188889,"urban","married",3.61091791264422,10.0375375606564,-4.60517018598809,-1.90502522310728,0,0
40,0,1,"M","W",0,1,0,"post graduate",1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0.36718,0.2825088889,"rural","married",3.3322045101752,10.793167332984,0.00995033085316809,-1.26404526375792,0,0
49,1,0,"M","W",0,1,0,"some college",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0.39773,0.18227,"suburban","single",4.17438726989564,10.666836873123,-4.60517018598809,-1.70226617474529,0,0
46,1,1,"M","B",0,1,0,"high school",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.61469,0.02746,"urban","married",5.04342511691925,10.6882563001433,-4.60517018598809,-3.59502487864231,0,1
20,0,1,"F","H",0,1,0,"some college",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50943,0.3965888889,"suburban","married",4.4188406077966,10.3223952363408,-4.60517018598809,-0.924855079173916,0,0
62,1,0,"F","W",0,1,0,"high school",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.1825388889,0.05264888889,"suburban","married",4.23410650459726,10.4382542870735,0.00995033085316809,-2.94411014432854,0,0
71,1,1,"F","H",0,1,0,"no hs degree",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0.43917,0.09767,"rural","married",4.30406509320417,11.0976372679133,0.00995033085316809,-2.32616082952275,0,1
